codigo_producto,nombre_producto,categoria,proveedor,precio_unitario,stock_disponible,unidad_medida,moneda,descuento_porcentaje,peso_kg,volumen_m3,estado,fecha_ingreso,fecha_vencimiento,codigo_barra,calificacion
2824,Producto_0001,Electrónica,ProveedorEpsilon,1624.16,159,unidad,USD,43.94,83.183,3.0758,activo,2020-11-26,2026-12-22,2503576812551,3.9
1409,Producto_0002,Alimentos,ProveedorBeta,3300.46,4503,caja,USD,26.38,60.699,9.6437,agotado,2020-05-21,2026-12-26,4537721043548,3.9
5506,Producto_0003,Herramientas,ProveedorEpsilon,2260.17,2030,caja,GTQ,16.9,58.872,2.3019,inactivo,2022-03-28,2026-02-03,2245571400278,3.8
5012,Producto_0004,Ropa,ProveedorAlfa,4298.88,580,metro,GTQ,13.92,48.593,5.3928,agotado,2020-04-30,2025-04-13,9317531495235,2.0
4657,Producto_0005,Hogar,ProveedorAlfa,489.17,3531,litro,USD,20.56,86.397,0.5427,activo,2022-08-26,2026-04-13,8082661400559,3.9
3286,Producto_0006,Hogar,ProveedorBeta,2683.75,1148,kilogramo,GTQ,13.93,25.056,9.2327,en_oferta,2020-08-11,2025-05-24,1889478745061,3.6
2679,Producto_0007,Ropa,ProveedorBeta,835.72,3978,kilogramo,GTQ,43.23,90.254,1.6472,activo,2023-01-12,2024-01-31,7871884575560,2.1
9935,Producto_0008,Libros,ProveedorEpsilon,3311.05,3986,caja,GTQ,14.84,96.874,5.7922,agotado,2022-07-20,2025-08-07,2006369269690,1.2
2424,Producto_0009,Cosméticos,ProveedorBeta,289.11,4160,unidad,GTQ,3.43,6.889,8.6183,en_oferta,2022-09-03,2026-10-26,1698338142294,3.5
7912,Producto_0010,Juguetes,ProveedorGamma,1025.27,2573,caja,USD,19.79,67.202,3.0007,descontinuado,2022-05-08,2026-12-06,2279624235099,1.0
1520,Producto_0011,Ropa,ProveedorEpsilon,1069.71,2172,caja,USD,44.04,87.939,3.6959,inactivo,2023-06-26,2024-07-23,1139710736463,3.7
1488,Producto_0012,Ropa,ProveedorBeta,1326.01,876,paquete,EUR,7.77,28.247,2.1071,descontinuado,2023-02-09,2025-09-05,9891716104934,3.0
2535,Producto_0013,Libros,ProveedorGamma,225.21,2732,docena,GTQ,31.86,26.269,7.4126,agotado,2020-04-14,2024-07-08,8523518553916,3.2
4582,Producto_0014,Alimentos,ProveedorEpsilon,184.96,3024,metro,EUR,7.4,12.832,3.0833,activo,2020-08-17,2024-06-03,7295987940544,1.8
4811,Producto_0015,Juguetes,ProveedorEpsilon,4421.25,3329,metro,EUR,7.73,92.995,8.6462,inactivo,2021-05-26,2024-07-29,8253690449424,1.1
9279,Producto_0016,Hogar,ProveedorGamma,800.19,885,kilogramo,GTQ,42.93,22.321,8.166,en_oferta,2021-11-11,2026-04-23,6370210891491,4.3
1434,Producto_0017,Electrónica,ProveedorBeta,1995.34,2282,docena,GTQ,48.34,27.985,6.4152,en_oferta,2021-04-11,2025-04-01,3027343107120,4.5
4257,Producto_0018,Automotriz,ProveedorGamma,196.09,4887,kilogramo,USD,36.43,31.436,6.0625,agotado,2021-06-18,2024-12-31,7773660120665,4.6
