id_transaccion,id_cliente,id_producto,tipo_transaccion,monto_bruto,impuesto_porcentaje,monto_impuesto,monto_neto,moneda,metodo_pago,canal,estado_transaccion,fecha_transaccion,hora_transaccion,codigo_autorizacion,numero_factura,id_cajero,sucursal,descuento_aplicado,comision_banco,nota
141319,7203,7607,debito,43472.09,1.12,486.89,37547.09,USD,efectivo,app_movil,en_proceso,2023-07-24,01:32:14,AUTH940183,FAC-85108,558,Sucursal_2,6411.89,479.16,Transaccion procesada correctamente ref_141319
674765,1587,9996,compra,42830.9,6.71,2873.95,44179.55,GTQ,cheque,sucursal,revertida,2022-02-06,03:25:26,AUTH419394,FAC-76628,675,Sucursal_4,1525.3,746.73,Transaccion procesada correctamente ref_674765
620465,8751,6952,credito,32733.25,6.84,2238.95,31625.02,MXN,efectivo,tienda_fisica,revertida,2023-04-02,14:21:35,AUTH332518,FAC-10287,449,Sucursal_6,3347.18,839.04,Transaccion procesada correctamente ref_620465
317782,9067,3301,debito,41495.9,14.47,6004.46,43865.52,MXN,efectivo,telefono,rechazada,2022-08-06,01:57:10,AUTH305438,FAC-34581,223,Sucursal_15,3634.84,748.99,Transaccion procesada correctamente ref_317782
821634,1761,3018,debito,42611.2,3.23,1376.34,33446.97,MXN,transferencia,agente,rechazada,2023-11-24,03:48:26,AUTH628689,FAC-27647,610,Sucursal_1,10540.57,416.08,Transaccion procesada correctamente ref_821634
604012,3903,3845,credito,26522.91,0.73,193.62,19274.4,USD,efectivo,app_movil,revertida,2024-09-16,16:49:58,AUTH729718,FAC-89450,429,Sucursal_9,7442.13,688.81,Transaccion procesada correctamente ref_604012
446663,5819,8419,debito,44070.71,6.28,2767.64,38786.71,USD,tarjeta_credito,app_movil,rechazada,2023-05-24,08:25:21,AUTH834018,FAC-77147,406,Sucursal_14,8051.64,983.34,Transaccion procesada correctamente ref_446663
345896,5760,6657,credito,35077.7,12.91,4528.53,32114.96,USD,QR,agente,pendiente,2023-03-22,06:13:39,AUTH628370,FAC-81105,810,Sucursal_11,7491.27,995.78,Transaccion procesada correctamente ref_345896
102871,9747,5684,debito,16125.85,1.73,278.98,14700.79,MXN,efectivo,sucursal,completada,2024-05-04,21:47:57,AUTH126499,FAC-59921,248,Sucursal_1,1704.04,274.29,Transaccion procesada correctamente ref_102871
113368,2016,5835,venta,33516.01,3.0,1005.48,26978.53,GTQ,tarjeta_debito,app_movil,completada,2023-08-10,21:16:09,AUTH746036,FAC-98542,857,Sucursal_9,7542.96,302.43,Transaccion procesada correctamente ref_113368
804258,7251,7349,transferencia,43243.43,11.14,4817.32,40779.37,EUR,cheque,tienda_fisica,completada,2023-08-13,22:42:03,AUTH879794,FAC-42943,307,Sucursal_10,7281.38,473.08,Transaccion procesada correctamente ref_804258
193326,4218,4170,devolucion,43443.81,12.91,5608.6,43277.9,MXN,tarjeta_credito,agente,completada,2024-01-24,18:34:47,AUTH296059,FAC-32779,852,Sucursal_9,5774.51,462.19,Transaccion procesada correctamente ref_193326
215795,1092,6415,transferencia,5976.5,0.61,36.46,5512.53,USD,efectivo,en_linea,cancelada,2022-11-26,18:54:16,AUTH725874,FAC-16665,892,Sucursal_15,500.43,69.36,Transaccion procesada correctamente ref_215795
975804,6207,9608,venta,31272.08,12.65,3955.92,32402.68,USD,cheque,tienda_fisica,rechazada,2024-01-04,02:50:45,AUTH267112,FAC-64516,656,Sucursal_9,2825.32,773.91,Transaccion procesada correctamente ref_975804
702042,9691,8780,ajuste,20176.82,5.24,1057.27,15886.85,GTQ,efectivo,agente,cancelada,2023-11-10,11:18:13,AUTH567315,FAC-41502,757,Sucursal_10,5347.24,435.48,Transaccion procesada correctamente ref_702042
801520,9851,5633,compra,45931.18,3.66,1681.08,47062.78,EUR,cheque,sucursal,en_proceso,2024-02-21,03:24:16,AUTH610451,FAC-15747,403,Sucursal_15,549.48,1246.64,Transaccion procesada correctamente ref_801520
618105,4453,4492,debito,32579.89,4.8,1563.83,33338.88,MXN,efectivo,en_linea,rechazada,2024-12-28,00:40:04,AUTH969005,FAC-67047,762,Sucursal_14,804.84,241.06,Transaccion procesada correctamente ref_618105
256389,1889,3916,debito,46988.16,11.2,5262.67,50083.44,EUR,cheque,tienda_fisica,rechazada,2023-11-11,01:05:04,AUTH961530,FAC-39837,364,Sucursal_7,2167.39,774.39,Transaccion procesada correctamente ref_256389
194458,2036,1745,credito,19407.75,9.45,1834.03,18720.57,GTQ,tarjeta_debito,sucursal,completada,2022-08-31,17:00:41,AUTH403915,FAC-99899,408,Sucursal_10,2521.21,105.23,Transaccion procesada correctamente ref_194458
917392,4602,3234,credito,4334.4,11.48,497.59,4262.87,MXN,cheque,telefono,revertida,2022-03-05,15:10:34,AUTH251074,FAC-49066,793,Sucursal_15,569.12,64.49,Transaccion procesada correctamente ref_917392
636561,3316,3019,compra,45709.3,11.93,5453.12,41161.35,GTQ,cheque,sucursal,en_proceso,2022-01-23,17:55:35,AUTH663244,FAC-81765,187,Sucursal_5,10001.07,654.93,Transaccion procesada correctamente ref_636561
178693,4617,5140,venta,10510.54,11.12,1168.77,9390.31,GTQ,tarjeta_credito,agente,rechazada,2024-11-15,04:10:11,AUTH993650,FAC-17128,971,Sucursal_13,2289.0,108.19,Transaccion procesada correctamente ref_178693
858711,2608,4234,credito,46619.17,14.91,6950.92,47118.95,MXN,tarjeta_debito,telefono,pendiente,2023-08-19,21:04:16,AUTH803904,FAC-95914,340,Sucursal_2,6451.14,873.72,Transaccion procesada correctamente ref_858711
858724,3496,6971,debito,14264.01,1.05,149.77,13585.76,EUR,transferencia,en_linea,completada,2023-11-04,19:42:19,AUTH428429,FAC-42266,904,Sucursal_4,828.02,244.58,Transaccion procesada correctamente ref_858724
